age,income,credit_score,loan_amount,debt_to_income_pct,num_dependents,years_employed,account_balance,num_prev_loans,monthly_expenses,gender,employment_status,education_level,loan_purpose,region,marital_status,application_year,loan_duration_months,application_date,loan_default
24,81819.12,765,7443.51,17.48,6,0,12167.83,1,,Male,Full-Time,Master,Education,North,Married,2015,24,14/10/2015,0
41,45206.92,650,30418.36,24.83,1,4.7,,9,9708.4,Female,Self-Employed,Bachelor,Personal,East,Divorced,2013,36,22/12/2013,0
18,54369.92,699,24889.73,13.94,2,5.3,2687.33,5,13438.02,Female,Full-Time,High School,Home,South,Married,2016,60,14/01/2016,0
61,45548.79,668,18426.53,27.48,1,3,2129.51,8,8505.58,Male,Part-Time,Bachelor,Medical,North,Married,2017,60,17/02/2017,1
25,33518.74,812,13304.04,18.96,0,2.9,16722.64,9,5661.04,Female,Full-Time,Bachelor,Personal,East,Single,2013,48,18/04/2013,0
41,123541.38,544,6572.78,25.31,0,7,17669.22,7,27383.15,Female,Self-Employed,Master,Home,South,Married,2020,36,10/07/2020,0
28,104713.42,599,4613.05,28.15,6,3.2,9291.36,0,22525.62,Male,Part-Time,PhD,Personal,North,Married,2020,60,20/11/2020,0
25,69623.91,765,11037.52,44.35,5,2.1,2251.01,1,17024.65,Female,Full-Time,,Personal,East,Single,2010,12,16/02/2010,0
52,42491.23,789,27129.26,14.43,3,,2435.78,1,7355.45,Female,Self-Employed,Master,Personal,East,Single,2020,60,11/10/2020,0
52,41501.3,582,15923.03,25.13,4,1.8,1710.41,8,,Male,Full-Time,Master,Home,East,Widowed,2017,48,14/04/2017,1
50,48549.61,549,7022.91,12.76,1,0.4,1379.81,8,13441.36,Female,Self-Employed,Master,Personal,East,Single,2019,24,9/01/2019,1
22,63870.15,634,45632.66,13.22,5,6.2,5495.06,9,13433.82,Male,Full-Time,Bachelor,Medical,Central,Single,2012,36,13/11/2012,0
59,38544.42,757,14891.85,10.45,6,2.8,18927.95,7,8230.02,Female,Self-Employed,,Car,East,Divorced,2019,60,3/09/2019,0
45,17956.05,697,35603.29,48.06,0,8.9,,2,3620.85,Female,Full-Time,High School,Education,North,,2024,12,14/11/2024,1
24,90237.99,615,22700.09,11.82,2,,421.53,9,19506.2,Female,Self-Employed,High School,Car,Central,Married,2019,24,9/06/2019,0
26,45298.22,669,15627.49,25.56,2,0.5,19864.94,7,,Male,Unemployed,Bachelor,Medical,West,Widowed,2022,60,9/06/2022,0
29,40877.55,655,26063.99,15.3,4,1.3,5661.79,8,10207.85,Female,Part-Time,,Personal,South,Married,2014,36,26/07/2014,0
51,49355.42,606,18349.34,4.98,4,2,2643.05,7,16672.57,Male,Full-Time,Bachelor,Home,North,Married,2020,48,27/10/2020,0
50,85561.45,644,24951.86,29.99,2,1.2,16889.12,2,,Non-Binary,Full-Time,High School,Business,West,Married,2014,60,18/10/2014,0
72,36496.06,582,31088.29,19.52,5,0.6,4148.86,6,10319.05,Male,Full-Time,High School,Education,South,,2019,36,14/01/2019,1
54,67255.22,726,4889.38,34.16,6,1.7,35729.69,6,22062.75,Female,Full-Time,Bachelor,Medical,Central,Single,2011,36,18/06/2011,0
52,57692.96,752,20020.23,60.58,4,0.9,22621.81,6,17280.54,Male,Full-Time,High School,Personal,Central,Single,2024,48,17/10/2024,1
57,69081.68,688,12041.44,29.33,5,4.1,,3,14177.01,Male,Full-Time,Bachelor,Car,North,Married,2023,36,25/06/2023,1
39,18278.41,850,12884.96,54.95,0,0.8,3990.56,0,3957.79,Female,Full-Time,Bachelor,Business,South,Married,2015,12,16/05/2015,0
52,26745.73,643,15285.64,22.85,6,4.7,15317.82,3,6549.21,Male,Retired,High School,Medical,South,Divorced,2013,60,15/05/2013,1
52,56830.04,654,12506.85,24.27,0,1.9,12471.45,0,13457.23,Male,Unemployed,,Education,South,Divorced,2011,36,17/01/2011,0
64,48106.66,735,90014.03,48.49,1,1.1,4339.66,1,8023.42,Female,Retired,Master,Home,North,Married,2018,24,18/03/2018,1
20,49036.51,602,11843.81,47.38,6,4.2,590.19,6,18768.32,Female,Part-Time,,Medical,West,Divorced,2011,36,3/07/2011,1
18,54524.31,682,19504.81,12.01,1,1.8,383.51,9,13597.54,Female,Full-Time,Bachelor,Car,South,Married,2013,60,9/09/2013,0
43,69515.1,629,22830.06,29.21,0,0.6,685.39,7,12971.25,Male,Full-Time,Bachelor,Car,North,Divorced,2022,24,6/07/2022,1
72,67672.44,560,10165.87,17.23,4,3.5,,2,,Male,Full-Time,,Personal,Central,Divorced,2014,84,6/07/2014,1
31,38148.27,540,2219.47,33.55,3,9.7,2337.76,1,7310.79,Female,Full-Time,High School,Car,South,Single,2013,24,20/11/2013,0
26,89726.57,801,20259.05,40.09,2,2.1,11950.03,1,19295.49,Female,Part-Time,Master,Education,West,,2010,60,17/08/2010,0
32,122214.99,640,9369.33,38.16,6,0.9,2194.91,5,24966.79,Male,Full-Time,High School,Business,West,Divorced,2024,24,22/11/2024,1
43,30625.93,621,13001.19,10.01,3,1.4,2997.18,6,5875.06,Female,Full-Time,,Car,West,Married,2014,48,20/06/2014,1
59,40986.97,610,28391.47,9.09,5,6.2,23226.93,8,9278.01,Female,Full-Time,High School,Personal,West,Married,2014,60,16/02/2014,0
30,268050.38,699,8997.07,44.79,1,8.4,4817.1,9,62035.52,Female,Self-Employed,High School,Home,East,Married,2024,24,22/04/2024,0
49,27487.69,724,10701.28,11.01,0,12.2,4076.68,3,7137.15,Female,Part-Time,Bachelor,Medical,East,Widowed,2017,24,28/01/2017,0
56,39994.84,547,11558.01,66.5,2,4.6,3472.07,3,11818.34,Female,Full-Time,Bachelor,Education,South,Married,2016,48,24/01/2016,1
66,19726.92,619,69724.85,6.81,2,1.7,5934.06,8,3666.41,Male,Part-Time,Bachelor,Personal,Central,Widowed,2017,60,8/09/2017,1
69,,541,4280.66,18.27,1,3.5,6103.43,7,8422.65,Female,Full-Time,Master,Business,East,Single,2012,36,24/06/2012,1
49,51191.25,570,4766.71,36.55,5,0.7,3133.15,8,10126.41,Female,Retired,Master,Business,West,Single,2019,36,25/11/2019,1
21,88983.11,534,5934.2,19.94,5,12,,2,22560.02,Male,Unemployed,Bachelor,Education,West,Married,2024,24,3/01/2024,1
47,66555.96,724,19068.47,20.81,4,5.6,636.39,2,14172.66,Male,Part-Time,High School,Home,Central,Divorced,2024,60,24/05/2024,0
54,53500,617,8159.92,48.49,0,0.3,1566.46,3,12995.27,Male,Unemployed,Bachelor,Business,Central,Married,2018,36,24/12/2018,1
40,178075.93,665,6088.88,20.97,5,7.5,31950.17,3,,Male,Self-Employed,PhD,Home,North,Single,2020,36,25/09/2020,1
60,113302.44,662,16905.25,14.57,5,1,12454.13,5,,Male,Unemployed,Bachelor,Medical,East,Divorced,2020,24,22/09/2020,0
46,97588.43,755,48332.44,34.64,3,7.8,9357.94,6,16885.76,Male,Full-Time,Bachelor,Personal,North,Single,2019,36,25/02/2019,0
53,80870.28,675,29638.79,39.19,5,4.1,4580.29,7,22217.29,Male,Part-Time,Bachelor,Car,West,Single,2021,48,13/04/2021,0
49,119544.73,694,8115.94,3.5,6,0.6,2596.61,7,34432.26,Male,Part-Time,High School,Car,Central,Single,2019,60,2/05/2019,0
24,34491.11,732,10364.62,54.71,1,11.2,1278.22,6,13314.3,Female,Full-Time,Bachelor,Education,South,Married,2022,84,6/08/2022,1
68,31557.92,502,14646.02,15.09,4,0.9,19487.75,0,11525.81,Female,Retired,High School,Home,South,Married,2018,36,21/11/2018,1
45,67140.76,524,15309.75,19.55,6,0,3091.4,2,21597.16,Male,Full-Time,Bachelor,Car,East,Married,2016,36,20/12/2016,1
19,98434.2,735,52504.62,11.32,,2.6,8617.01,9,16571.1,Male,Unemployed,Master,Car,West,Married,2012,60,26/02/2012,0
59,26272.88,666,8305.55,11.13,0,0.8,4131.28,1,9570.89,Female,Part-Time,High School,Car,South,,2022,48,2/06/2022,0
62,31739.98,638,8369.4,11.56,1,,7270.75,2,6457.02,Female,Full-Time,Master,Home,North,Divorced,2016,84,27/04/2016,0
74,116377.65,619,12205,46.53,5,,1935.93,9,28390.42,Female,Unemployed,Bachelor,Personal,North,Married,2024,36,20/08/2024,1
70,74349.57,577,13367.44,16.84,3,6.1,1118.71,8,19888.37,Female,Full-Time,PhD,Education,Central,Divorced,2015,24,24/06/2015,1
23,72434.16,600,6839.78,44.22,6,15.3,2260.78,2,28293.02,Female,Retired,Master,Personal,Central,Married,2024,36,20/07/2024,1
45,43165.8,685,26949.47,36.58,0,4,2707.71,0,7748.03,Male,Full-Time,,Personal,East,Married,2015,84,3/04/2015,0
61,19286.95,650,33987.46,54.3,5,8.3,,7,6233.34,Female,Retired,,Business,Central,Married,2023,36,11/10/2023,1
61,69931.58,629,23196.52,24.9,1,7.8,6977.14,8,23170.19,Female,Self-Employed,,Medical,Central,,2017,24,26/08/2017,1
28,24683.52,740,34726.03,42.34,3,5,80757.33,7,4743.39,Female,Self-Employed,High School,Home,Central,,2017,60,8/08/2017,1
72,43470.49,577,20312.61,31.88,4,6.6,3561.26,8,13913.7,Female,Part-Time,,Car,West,Married,2012,36,11/12/2012,1
45,86682.95,641,5186.91,45.65,4,3.8,3726.16,7,20697.54,Male,Full-Time,PhD,Car,South,Divorced,2016,24,16/01/2016,1
42,93092.52,667,15933.01,21.34,4,5.9,6312.14,8,20309.28,Male,Full-Time,Bachelor,Business,East,Married,2016,24,19/04/2016,0
56,124808.69,759,12646.73,45.72,2,0.3,2824.09,1,38397.8,Male,Unemployed,High School,Business,South,Single,2022,36,8/05/2022,1
18,,640,16925.33,15.62,2,12.8,4863.49,6,2994.83,Female,Full-Time,Master,Business,West,Married,2010,60,5/11/2010,0
44,20636.86,691,4940.35,44.92,1,0.1,11405.09,1,4587.65,Female,Unemployed,Master,Home,Central,Single,2023,60,7/06/2023,0
69,76063.32,586,11285.88,8.44,5,19.2,2156.6,8,19373.85,Female,Full-Time,,Personal,South,Married,2016,36,12/09/2016,0
30,29961.02,652,6452.83,46.28,2,5.1,12720,5,5786.07,Female,Part-Time,Bachelor,Car,East,,2018,60,1/08/2018,0
20,,592,55880.5,11,6,7,1261.38,7,10425.68,Male,Full-Time,,Home,West,Divorced,2014,36,22/03/2014,1
56,80215.23,492,24837.11,28.51,,18.2,23367.93,0,26022.12,Female,Full-Time,Master,Car,Central,,2016,84,15/02/2016,0
25,33343.74,693,20716.49,33.39,,3.5,2020.66,1,,Female,Unemployed,Bachelor,Business,South,Divorced,2010,60,26/01/2010,0
54,80105.87,552,16127.81,35.68,0,0.5,3868.89,6,28329.91,Female,Retired,Bachelor,Home,South,Single,2021,48,27/01/2021,1
50,19440.14,659,9635.88,61.29,1,1.5,1112.63,4,7709.78,Male,Part-Time,Master,Home,Central,Single,2013,36,20/10/2013,1
68,34601.24,674,12349.04,55.23,6,0.1,382.29,7,5945.21,Female,Part-Time,Bachelor,Car,Central,Single,2014,48,17/04/2014,1
61,18081.74,656,16093.86,12.19,0,0.7,2250.52,5,6414.07,Male,Full-Time,High School,Business,Central,Single,2014,60,21/03/2014,1
41,18382.24,617,44681.79,18.39,6,5.8,6900.74,9,3326.07,Male,Unemployed,High School,Home,Central,Single,2024,60,22/01/2024,0
32,31558.43,662,17475.23,14.99,1,1.1,118501.44,9,8871.42,Male,Full-Time,Bachelor,Business,East,Married,2013,36,4/04/2013,0
71,,767,6762.71,30.19,6,13,12811.55,3,13067.35,Male,Full-Time,Master,Home,North,Married,2023,12,7/01/2023,0
49,,844,3900.22,47.9,4,3.3,896.43,7,11319.98,Female,Full-Time,High School,Car,North,Married,2018,24,20/06/2018,0
41,27165.93,850,4812.32,19.19,6,1,213.14,2,10220.72,Male,Part-Time,Bachelor,Education,South,Divorced,2014,36,5/09/2014,0
58,27001.6,710,8216.48,3.51,1,6.7,,5,5586.34,Male,Full-Time,Bachelor,Home,East,Widowed,2016,36,18/06/2016,1
69,112993.9,745,37949.64,2.7,6,15.1,16961.38,6,,Female,Self-Employed,Master,Car,North,Married,2015,60,12/08/2015,0
66,63245.2,609,14738.61,28.21,4,,3688.94,8,11212,Female,Unemployed,Bachelor,Medical,South,Single,2023,48,8/05/2023,1
66,25720.84,650,20321.71,7.33,5,1.1,,5,5455.15,Female,Part-Time,Bachelor,Car,East,Single,2010,24,7/10/2010,0
69,14961.89,670,4902.37,15.17,6,0.5,9960.42,0,2535.84,Female,Part-Time,High School,Home,North,Divorced,2019,60,21/02/2019,0
20,48039.87,776,2510.22,27.93,4,,,5,9160.08,Male,Full-Time,Bachelor,Medical,Central,Divorced,2015,24,14/05/2015,0
66,73343.33,648,80142.31,13.26,5,7.9,16782.26,6,13532.36,Female,Full-Time,,Car,West,Married,2013,36,7/09/2013,0
54,46439.8,585,24110.29,9.53,1,7,16105.71,7,11483.8,Male,Retired,Bachelor,Home,West,Married,2023,48,4/05/2023,0
73,60238.66,685,15367.12,24.91,4,0.4,20354.82,8,12763.8,Male,Unemployed,PhD,Personal,South,,2021,60,6/07/2021,0
34,40012.72,658,12974.73,39.85,6,,870.35,1,10795.45,Female,Full-Time,High School,Home,Central,Married,2015,24,3/04/2015,0
66,17529.89,578,7557.77,15.64,4,7.8,988.61,3,4762.71,Female,Full-Time,Master,Medical,South,,2020,48,11/03/2020,1
19,55362.01,663,6675.99,34.87,5,0.7,4128.9,3,16494.48,Female,Unemployed,Bachelor,Medical,West,,2023,60,16/04/2023,0
19,62039.34,634,12844.08,18.91,6,3.1,4561.64,4,22768.94,Male,Self-Employed,Master,Personal,West,Married,2022,84,13/06/2022,0
71,85207.4,699,15119.13,27.81,5,0.4,10659.92,3,,Female,Full-Time,,Education,South,Married,2013,60,16/08/2013,0
40,35037.59,716,7201.16,72.68,6,2.2,4418.87,4,7760.01,Female,Full-Time,Master,Home,Central,Single,2023,48,1/07/2023,0
54,43036.87,641,24233.92,22.97,4,14.5,5890.92,6,7770.66,Male,Self-Employed,High School,Car,East,Single,2024,60,11/05/2024,0
18,120161.33,674,24233.79,19.98,0,1.5,7361.56,5,36949.07,Female,Retired,Master,Home,Central,Single,2014,48,25/10/2014,0
19,35871.82,666,9676.5,64.3,0,8.5,1277.34,4,,Female,Full-Time,High School,Personal,South,Married,2013,48,11/02/2013,0
70,103273.61,778,36172.86,36.29,0,,7192.54,4,19788.16,Female,Full-Time,Master,Personal,East,Single,2014,24,23/10/2014,0
23,51455.5,731,10798.13,42.85,2,,2848.4,7,15905.19,Male,Full-Time,,Education,West,,2019,36,25/09/2019,0
21,29069.52,703,48711.8,44.64,6,2.1,5964.78,6,5491.49,Female,Full-Time,Master,Home,West,Married,2014,36,28/11/2014,1
28,60753.58,752,40036.29,26.76,0,2.9,3346.11,5,15562.02,Female,Full-Time,Bachelor,Personal,East,Married,2014,36,15/05/2014,0
73,82882.03,631,8430.11,36.65,1,14.9,1003.67,8,15796.44,Female,Full-Time,,Education,North,Single,2011,60,19/05/2011,1
34,31295.51,626,8049.15,40.67,4,8.3,1715.09,5,10323.72,Female,Full-Time,,Home,Central,Single,2015,60,1/11/2015,0
55,57471.61,619,16907.11,34.43,4,0.1,37127.17,0,16993.18,Male,Full-Time,Bachelor,Home,East,Single,2020,36,2/10/2020,0
41,78678,524,9228.89,18.53,4,1.7,4664.14,2,22679.43,Female,Self-Employed,High School,Education,North,Married,2020,12,15/06/2020,0
69,73139.4,630,35535.24,24.66,6,1.8,9462.74,5,13222.17,Female,Part-Time,Master,Home,Central,,2011,36,6/01/2011,0
51,39485.33,624,61990.79,59.42,1,1,2028.21,1,6656.13,Female,Self-Employed,,Car,North,Single,2012,60,26/06/2012,0
28,,599,18355.14,2.73,5,2.9,764.77,0,31414.36,Female,Full-Time,Master,Car,Central,Single,2012,36,14/10/2012,0
33,17806.96,787,25024.5,18.71,,1,4084.16,0,3146.84,Female,Retired,High School,Personal,East,Single,2019,84,3/03/2019,1
50,46817.61,650,11088.1,3.21,2,12.5,4709.97,9,12781.25,Female,Part-Time,High School,Car,South,,2012,36,27/03/2012,0
